ERICOPHYTE,53,0
UNROYAL,26,0
ETHYLENE,0,0
AXINOMANCY,7,1
DESKLIKE,0,0
STINGAREEING,5,0
STAHLHELM,8,3
RADARSCOPE,11,8
CONSIDER,0,1
VULCANICITY,91,2
GUMMA,18,0
SUPRACLAVICLE,9,0
ALABAMIAN,0,0
SURPASSING,153,9
KAINIT,15,1
SNOWLAND,0,0
AMBUSH,5,0
HORNLESS,95,9
ALDERWOMAN,61,0
INCLINERS,10,0
MUTILATION,17,0
KITCHENWARE,36,1
FORTUNED,41,3
GARBLES,36,3
